Weights of ConvLayers:
conv2d/kernel:0,"(1, 3, 1, 128)"
conv2d/bias:0,"(128,)"
conv2d_1/kernel:0,"(3, 1, 128, 128)"
conv2d_1/bias:0,"(128,)"
layer_normalization/gamma:0,"(256, 16, 128)"
layer_normalization/beta:0,"(256, 16, 128)"
layer_normalization_1/gamma:0,"(128, 16, 128)"
layer_normalization_1/beta:0,"(128, 16, 128)"
conv2d_2/kernel:0,"(1, 3, 128, 128)"
conv2d_2/bias:0,"(128,)"
conv2d_3/kernel:0,"(3, 1, 128, 128)"
conv2d_3/bias:0,"(128,)"
layer_normalization_2/gamma:0,"(128, 8, 128)"
layer_normalization_2/beta:0,"(128, 8, 128)"
layer_normalization_3/gamma:0,"(64, 8, 128)"
layer_normalization_3/beta:0,"(64, 8, 128)"
conv2d_4/kernel:0,"(1, 3, 128, 256)"
conv2d_4/bias:0,"(256,)"
conv2d_5/kernel:0,"(3, 1, 256, 256)"
conv2d_5/bias:0,"(256,)"
layer_normalization_4/gamma:0,"(64, 4, 256)"
layer_normalization_4/beta:0,"(64, 4, 256)"
layer_normalization_5/gamma:0,"(32, 4, 256)"
layer_normalization_5/beta:0,"(32, 4, 256)"
conv2d_6/kernel:0,"(1, 3, 256, 256)"
conv2d_6/bias:0,"(256,)"
conv2d_7/kernel:0,"(3, 1, 256, 256)"
conv2d_7/bias:0,"(256,)"
layer_normalization_6/gamma:0,"(32, 2, 256)"
layer_normalization_6/beta:0,"(32, 2, 256)"
layer_normalization_7/gamma:0,"(16, 2, 256)"
layer_normalization_7/beta:0,"(16, 2, 256)"
conv2d_8/kernel:0,"(1, 3, 256, 512)"
conv2d_8/bias:0,"(512,)"
conv2d_9/kernel:0,"(3, 1, 512, 512)"
conv2d_9/bias:0,"(512,)"
layer_normalization_8/gamma:0,"(16, 2, 512)"
layer_normalization_8/beta:0,"(16, 2, 512)"
layer_normalization_9/gamma:0,"(8, 2, 512)"
layer_normalization_9/beta:0,"(8, 2, 512)"
conv2d_10/kernel:0,"(1, 3, 512, 512)"
conv2d_10/bias:0,"(512,)"
conv2d_11/kernel:0,"(3, 1, 512, 512)"
conv2d_11/bias:0,"(512,)"
layer_normalization_10/gamma:0,"(8, 1, 512)"
layer_normalization_10/beta:0,"(8, 1, 512)"
layer_normalization_11/gamma:0,"(4, 1, 512)"
layer_normalization_11/beta:0,"(4, 1, 512)"
conv2d_12/kernel:0,"(1, 3, 512, 1024)"
conv2d_12/bias:0,"(1024,)"
conv2d_13/kernel:0,"(3, 1, 1024, 1024)"
conv2d_13/bias:0,"(1024,)"
layer_normalization_12/gamma:0,"(4, 1, 1024)"
layer_normalization_12/beta:0,"(4, 1, 1024)"
layer_normalization_13/gamma:0,"(2, 1, 1024)"
layer_normalization_13/beta:0,"(2, 1, 1024)"
conv2d_14/kernel:0,"(1, 3, 1024, 1024)"
